id,level,skill_id,specialization_id
719,3,2642,4
720,1,2643,4
721,1,2651,4
722,1,2652,4
723,6,2655,4
724,5,2656,4
725,3,2662,4
726,2,2673,4
727,1,2681,4
728,1,2682,4
729,2,2693,4
730,1,2694,4
731,3,2695,4
732,1,2709,4
733,3,2716,4
734,1,2727,4
735,2,2730,4
736,1,2731,4
737,1,2740,4
738,46,2741,4
739,3,2743,4
740,1,2745,4
741,1,2747,4
742,1,2754,4
743,1,2758,4
744,1,2760,4
745,1,2762,4
746,2,2764,4
747,8,2771,4
748,3,2772,4
749,17,2774,4
750,3,2776,4
751,3,2778,4
752,3,2780,4
753,1,2785,4
754,1,2787,4
755,4,2798,4
756,3,2799,4
757,1,2802,4
758,2,2804,4
759,4,2805,4
760,1,2811,4
761,12,2813,4
762,1,2815,4
763,1,2816,4
764,26,2817,4
765,1,2818,4
766,2,2821,4
767,1,2823,4
768,3,2830,4
769,5,2840,4
770,3,2845,4
771,27,2859,4
772,155,2863,4
773,2,2869,4
774,1,2873,4
775,2,2875,4
776,11,2876,4
777,14,2879,4
778,5,2880,4
779,1,2881,4
780,5,2882,4
781,34,2894,4
782,13,2898,4
783,2,2899,4
784,4,2900,4
785,1,2902,4
786,1,2905,4
787,1,2912,4
788,2,2919,4
789,1,2923,4
790,1,2928,4
791,3,2931,4
792,2,2938,4
793,4,2940,4
794,2,2941,4
795,2,2942,4
796,1,2952,4
797,2,2955,4
798,1,2960,4
799,3,2966,4
800,1,2967,4
801,1,2974,4
802,1,2976,4
803,1,2978,4
804,4,2981,4
805,15,2988,4
806,1,2995,4
807,61,2997,4
808,1,2999,4
809,1,3005,4
810,1,3006,4
811,1,3007,4
812,15,3009,4
813,35,3010,4
814,1,3015,4
815,1,3023,4
816,1,3029,4
817,1,3030,4
818,6,3033,4
819,1,3047,4
820,1,3048,4
821,1,3050,4
822,61,3060,4
823,2,3070,4
824,3,3071,4
825,1,3076,4
826,1,3077,4
827,1,3080,4
828,5,3081,4
829,11,3087,4
830,1,3092,4
831,1,3100,4
832,1,3101,4
833,1,3103,4
834,3,3104,4
835,2,3111,4
836,1,3118,4
837,1,3119,4
838,36,3126,4
839,1,3127,4
840,1,3135,4
841,1,3138,4
842,6,3139,4
843,1,3145,4
844,2,3147,4
845,1,3148,4
846,5,3154,4
847,1,3158,4
848,5,3168,4
849,1,3173,4
850,1,3174,4
851,32,3176,4
852,1,3177,4
853,11,3179,4
854,1,3180,4
855,1,3185,4
856,1,3186,4
857,1,3191,4
858,1,3194,4
859,5,3199,4
860,1,3201,4
861,1,3205,4
862,1,3206,4
863,8,3211,4
864,1,3214,4
865,5,3217,4
866,1,3230,4
867,2,3237,4
868,11,3242,4
869,2,3243,4
870,1,3244,4
871,1,3245,4
872,23,3246,4
873,1,3251,4
874,1,3254,4
875,1,3256,4
876,2,3260,4
877,1,3261,4
878,1,3262,4
879,1,3264,4
880,1,3272,4
881,1,3281,4
882,4,3284,4
883,6,3299,4
884,1,3303,4
885,3,3305,4
886,2,3306,4
887,1,3325,4
888,5,3328,4
889,1,3331,4
890,1,3333,4
891,2,3335,4
892,1,3337,4
893,3,3338,4
894,16,3339,4
895,1,3340,4
896,1,3341,4
897,14,3344,4
898,1,3351,4
899,8,3354,4
900,11,3355,4
901,1,3358,4
902,3,3363,4
903,2,3364,4
904,20,3365,4
905,4,3371,4
906,1,3374,4
907,8,3376,4
908,1,3383,4
909,8,3389,4
910,1,3395,4
